Año,Ingreso,Costo,Utilidad
1,77413.28,15043.15,62370.13
2,77010.36,15063.36,61947.0
3,76405.28,15082.07,61323.21
4,76374.76,15129.78,61244.98
5,76503.28,14934.7,61568.58
